Word;Frequency;Rank;Logarithm of Frequency;Logarithm of rank
это;394;1;2.5954962218255737;0.0
всё;346;2;2.5390760987927767;0.30102999566398114
весь;179;3;2.252853030979893;0.47712125471966244
пить;146;4;2.1643528557844367;0.6020599913279623
сказать;134;5;2.1271047983648073;0.6989700043360187
мочь;127;6;2.103803720955957;0.7781512503836435
ещё;121;7;2.08278537031645;0.8450980400142567
свой;117;8;2.0681858617461617;0.9030899869919434
знать;115;9;2.0606978403536114;0.9542425094393249
выпить;110;10;2.041392685158225;1.0
говорить;110;11;2.041392685158225;1.041392685158225
идти;84;12;1.9242792860618814;1.0791812460476247
человек;81;13;1.9084850188786497;1.1139433523068367
почему;68;14;1.8325089127062362;1.1461280356782377
хороший;62;15;1.7923916894982537;1.1760912590556811
хотеть;61;16;1.785329835010767;1.2041199826559246
глаз;61;17;1.785329835010767;1.2304489213782739
день;61;18;1.785329835010767;1.2552725051033058
видеть;60;19;1.7781512503836434;1.2787536009528289
душа;58;20;1.7634279935629371;1.301029995663981
сердце;58;21;1.7634279935629371;1.322219294733919
петушки;52;22;1.716003343634799;1.3424226808222062
каждый;51;23;1.7075701760979363;1.3617278360175928
голова;51;24;1.7075701760979363;1.380211241711606
всетаки;50;25;1.6989700043360185;1.3979400086720375
петушок;49;26;1.6901960800285134;1.414973347970818
пусть;47;27;1.6720978579357173;1.4313637641589871
очень;44;28;1.6434526764861872;1.447158031342219
смотреть;43;29;1.6334684555795864;1.462397997898956
большой;42;30;1.6232492903979003;1.4771212547196624
который;42;31;1.6232492903979003;1.4913616938342726
сторона;42;32;1.6232492903979003;1.5051499783199058
всякий;42;33;1.6232492903979003;1.5185139398778873
вагон;41;34;1.6127838567197355;1.5314789170422551
рука;40;35;1.6020599913279623;1.5440680443502754
значит;39;36;1.591064607026499;1.556302500767287
пойти;38;37;1.57978359661681;1.5682017240669948
никто;38;38;1.57978359661681;1.57978359661681
самый;37;39;1.5682017240669948;1.591064607026499
твой;37;40;1.5682017240669948;1.6020599913279623
дело;37;41;1.5682017240669948;1.6127838567197355
мысль;37;42;1.5682017240669948;1.6232492903979003
подумать;37;43;1.5682017240669948;1.6334684555795864
просто;36;44;1.556302500767287;1.6434526764861872
москва;35;45;1.5440680443502754;1.6532125137753435
стать;34;46;1.5314789170422551;1.6627578316815739
снова;34;47;1.5314789170422551;1.6720978579357173
наш;34;48;1.5314789170422551;1.6812412373755872
спросить;33;49;1.5185139398778873;1.6901960800285134
веничек;33;50;1.5185139398778873;1.6989700043360185
мир;33;51;1.5185139398778873;1.7075701760979363
вокзал;32;52;1.5051499783199058;1.716003343634799
думать;32;53;1.5051499783199058;1.724275869600789
нога;32;54;1.5051499783199058;1.7323937598229684
грамм;32;55;1.5051499783199058;1.7403626894942439
баба;32;56;1.5051499783199058;1.7481880270062005
слово;31;57;1.4913616938342726;1.7558748556724912
например;31;58;1.4913616938342726;1.7634279935629371
